id,date,git_rev,hostname,conf_file,dataset_id,queryset_id,algorithm_id,qps,index_size_bytes,dataset_name,dataset_params,dataset_version,queryset_name,queryset_params,queryset_version,algorithm_name,algorithm_params,algorithm_version,time_queries,time_index,workload_type,start_times_distribution,dataset_size,bytes_per_interval,time_constraint,duration_constraint
4951,2021-06-21T05:35:08Z,d77449e,ironmaiden,experiments/all.yml,1,1,151,501.856870420556,313662816,UZ,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,6,random-uniform-zipf-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,9963,2529,range-duration,uniform,10000000,31.3662816,UZ,U
4986,2021-06-21T06:23:15Z,d77449e,ironmaiden,experiments/all.yml,76,1,151,504.032258064516,313662816,CZ,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,6,random-uniform-zipf-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,9920,2468,range-duration,clustered,10000000,31.3662816,UZ,U
4958,2021-06-21T05:36:17Z,d77449e,ironmaiden,experiments/all.yml,1,16,151,8.16571835457509,313662816,UZ,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,6,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,7,BTree,,5,612316,2505,range,uniform,10000000,31.3662816,UZ,-
4993,2021-06-21T06:24:12Z,d77449e,ironmaiden,experiments/all.yml,76,16,151,8.66656266791465,313662816,CZ,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,6,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,7,BTree,,5,576930,2466,range,clustered,10000000,31.3662816,UZ,-
4965,2021-06-21T05:54:40Z,d77449e,ironmaiden,experiments/all.yml,1,31,151,438.13529617946,313662816,UZ,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,6,random-clustered-zipf-uniform,seed=23512 n=5000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1 dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,11412,2497,range-duration,uniform,10000000,31.3662816,CZ,U
5000,2021-06-21T06:43:53Z,d77449e,ironmaiden,experiments/all.yml,76,31,151,460.871969766799,313662816,CZ,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,6,random-clustered-zipf-uniform,seed=23512 n=5000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1 dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,10849,2560,range-duration,clustered,10000000,31.3662816,CZ,U
4972,2021-06-21T05:55:52Z,d77449e,ironmaiden,experiments/all.yml,1,46,151,7.9228755601473,313662816,UZ,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,6,random-clustered-zipf-None,seed=23512 n=5000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1 ,7,BTree,,5,631084,2483,range,uniform,10000000,31.3662816,CZ,-
5007,2021-06-21T06:44:57Z,d77449e,ironmaiden,experiments/all.yml,76,46,151,8.02702216742442,313662816,CZ,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,6,random-clustered-zipf-None,seed=23512 n=5000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1 ,7,BTree,,5,622896,2454,range,clustered,10000000,31.3662816,CZ,-
4979,2021-06-21T06:12:45Z,d77449e,ironmaiden,experiments/all.yml,1,61,151,43103.4482758621,313662816,UZ,seed=123 n=10000000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1,6,random-None-uniform,seed=23512 n=5000  dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,116,2469,duration,uniform,10000000,31.3662816,-,U
5014,2021-06-21T07:04:22Z,d77449e,ironmaiden,experiments/all.yml,76,61,151,43103.4482758621,313662816,CZ,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,6,random-None-uniform,seed=23512 n=5000  dur_dist_low=1 dur_dist_high=10000,7,BTree,,5,116,2448,duration,clustered,10000000,31.3662816,-,U
5022,2021-06-21T08:18:30Z,d77449e,ironmaiden,experiments/real-world.yml,731,731,151,714285.714285714,15972160,Flight,,1,random-None-uniform-scaled,seed=23512 n=10000  dur_dist_low=1 dur_dist_high=1140 dur_dist_scale=1,7,BTree,,5,14,43,NA,NA,684838,23.322537592832173,-,U
5043,2021-06-21T08:20:24Z,d77449e,ironmaiden,experiments/real-world.yml,809,809,151,3393.28130302002,56374048,Webkit,,1,random-None-uniform,seed=23512 n=10000  dur_dist_low=1 dur_dist_high=94670777924,7,BTree,,5,2947,255,duration,NA,1547419,36.431017067775436,-,U
5058,2021-06-21T11:48:59Z,d77449e,ironmaiden,experiments/real-world.yml,809,835,151,47.3736072159478,56374048,Webkit,,1,random-uniform-scaled-uniform-scaled-None,seed=23512 n=10000 start_low=1 start_high=6980952 start_scale=60000 dur_low=1 dur_high=31556925975 dur_scale=60000 ,7,BTree,,5,211088,252,NA,NA,1547419,36.431017067775436,UU,-
5072,2021-06-21T13:05:24Z,d77449e,ironmaiden,experiments/real-world.yml,809,861,151,757.518369820468,56374048,Webkit,,1,random-uniform-scaled-uniform-scaled-uniform,seed=23512 n=10000 start_low=1 start_high=6980952 start_scale=60000 dur_low=1 dur_high=31556925975 dur_scale=60000 dur_dist_low=1 dur_dist_high=94670777924,7,BTree,,5,13201,252,NA,NA,1547419,36.431017067775436,UU,U
5078,2021-06-21T13:06:40Z,d77449e,ironmaiden,experiments/real-world.yml,897,897,151,5e+06,20733808,Tourism,,1,random-None-uniform,seed=23512 n=5000  dur_dist_low=1 dur_dist_high=120,7,BTree,,5,1,32,duration,NA,835071,24.82879659334356,-,U
5099,2021-06-21T13:13:28Z,d77449e,ironmaiden,experiments/real-world.yml,897,923,151,1345.89502018843,20733808,Tourism,,1,random-uniform-uniform-None,seed=23512 n=5000 start_low=1 start_high=2055 dur_low=1 dur_high=90 ,7,BTree,,5,3715,28,NA,NA,835071,24.82879659334356,UU,-
5120,2021-06-21T13:14:01Z,d77449e,ironmaiden,experiments/real-world.yml,897,949,151,13262.599469496,20733808,Tourism,,1,random-uniform-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=2055 dur_low=1 dur_high=90 dur_dist_low=1 dur_dist_high=120,7,BTree,,5,377,28,NA,NA,835071,24.82879659334356,UU,U
5029,2021-06-21T08:19:20Z,d77449e,ironmaiden,experiments/real-world.yml,731,2168,151,2797.98545047566,15972160,Flight,,1,random-uniform-scaled-uniform-scaled-None,seed=23512 n=10000 start_low=1 start_high=666 start_scale=1440 dur_low=1 dur_high=744 dur_scale=60 ,7,BTree,,5,3574,39,NA,NA,684838,23.322537592832173,UU,-
5036,2021-06-21T08:19:32Z,d77449e,ironmaiden,experiments/real-world.yml,731,2238,151,13513.5135135135,15972160,Flight,,1,random-uniform-scaled-uniform-scaled-uniform-scaled,seed=23512 n=10000 start_low=1 start_high=666 start_scale=1440 dur_low=1 dur_high=744 dur_scale=60 dur_dist_low=1 dur_dist_high=1140 dur_dist_scale=1,7,BTree,,5,740,47,NA,NA,684838,23.322537592832173,UU,U
