i,j,cell_bound,max_duration,cell_size,heavy
0,0,1,1,1124,true
0,1,2,2,1822,true
0,2,3,3,511,true
0,3,4,4,432,true
0,4,5,5,282,true
0,5,6,6,188,true
0,6,7,7,152,true
0,7,8,8,61,false
0,8,9,9,38,false
0,9,10,10,34,false
0,10,11,11,51,false
0,11,12,12,44,false
0,12,13,14,58,false
0,13,15,17,57,false
0,14,18,32,46,false
1,0,1,1,986,true
1,1,2,2,1757,true
1,2,3,3,554,true
1,3,4,4,457,true
1,4,5,5,235,true
1,5,6,6,193,true
1,6,7,7,136,true
1,7,8,8,61,false
1,8,9,9,83,true
1,9,10,10,71,true
1,10,11,11,41,false
1,11,12,12,36,false
1,12,13,14,64,false
1,13,15,16,29,false
1,14,17,18,63,false
1,15,19,29,63,false
1,16,30,39,28,false
2,0,1,1,1064,true
2,1,2,2,1810,true
2,2,3,3,635,true
2,3,4,4,338,true
2,4,5,5,211,true
2,5,6,6,209,true
2,6,7,7,135,true
2,7,8,8,97,true
2,8,9,9,45,false
2,9,10,11,71,true
2,10,12,13,66,false
2,11,14,15,49,false
2,12,16,17,60,false
2,13,18,21,53,false
2,14,22,47,50,false
3,0,1,1,1038,true
3,1,2,2,1857,true
3,2,3,3,561,true
3,3,4,4,364,true
3,4,5,5,278,true
3,5,6,6,192,true
3,6,7,7,126,true
3,7,8,8,86,true
3,8,9,9,61,false
3,9,10,11,55,false
3,10,12,13,63,false
3,11,14,17,71,true
3,12,18,28,68,false
3,13,29,49,25,false
4,0,1,1,894,true
4,1,2,2,1940,true
4,2,3,3,615,true
4,3,4,4,427,true
4,4,5,5,301,true
4,5,6,6,178,true
4,6,7,7,136,true
4,7,8,8,76,true
4,8,9,9,74,true
4,9,10,11,68,false
4,10,12,14,71,true
4,11,15,37,69,false
4,12,40,47,24,false
5,0,1,1,922,true
5,1,2,2,1981,true
5,2,3,3,544,true
5,3,4,4,404,true
5,4,5,5,258,true
5,5,6,6,154,true
5,6,7,7,155,true
5,7,8,8,105,true
5,8,9,9,66,false
5,9,10,10,55,false
5,10,11,12,69,false
5,11,13,16,57,false
5,12,17,25,69,false
5,13,26,49,30,false
6,0,1,1,432,true
6,1,2,2,790,true
6,2,3,3,241,true
6,3,4,4,114,true
6,4,5,5,98,true
6,5,6,6,35,false
6,6,7,7,69,false
6,7,8,9,64,false
6,8,10,14,61,false
6,9,15,48,51,false
