start,duration
2016-01-01,2
2016-01-01,1
2016-01-02,1
2016-01-02,2
2016-01-02,3
2016-01-02,9
2016-01-02,11
2016-01-03,2
2016-01-03,3
2016-01-03,6
2016-01-03,10
2016-01-04,5
2016-01-04,7
2016-01-04,9
2016-01-04,2
2016-01-05,1
2016-01-05,2
2016-01-05,4
2016-01-05,6
2016-01-05,8
2016-01-06,3
2016-01-07,2
2016-01-07,4
2016-01-07,13
2016-01-07,1
2016-01-08,1
2016-01-08,2
2016-01-08,3
2016-01-08,10
2016-01-08,4
2016-01-08,5
2016-01-09,2
2016-01-09,3
2016-01-10,1
2016-01-10,2
2016-01-10,11
2016-01-11,10
2016-01-11,2
2016-01-12,1
2016-01-15,6
2016-01-15,1
2016-01-15,4
2016-01-15,2
2016-01-15,3
2016-01-15,5
2016-01-15,8
2016-01-15,9
2016-01-16,2
2016-01-16,8
2016-01-17,2
2016-01-17,7
2016-01-17,4
2016-01-18,2
2016-01-18,3
2016-01-18,4
2016-01-18,6
2016-01-19,2
2016-01-19,1
2016-01-19,5
2016-01-20,2
2016-01-20,3
2016-01-20,4
2016-01-21,2
2016-01-21,3
2016-01-22,1
2016-01-22,2
2016-01-24,2
2016-01-25,3
2016-01-25,6
2016-01-25,7
2016-01-25,14
2016-01-25,1
2016-01-25,2
2016-01-26,1
2016-01-26,2
2016-01-26,4
2016-01-26,6
2016-01-26,13
2016-01-26,5
2016-01-27,1
2016-01-27,2
2016-01-27,5
2016-01-27,12
2016-01-27,3
2016-01-27,4
2016-01-28,2
2016-01-28,11
2016-01-28,3
2016-01-28,1
2016-01-29,3
2016-01-29,2
2016-01-29,1
2016-01-29,16
2016-01-29,20
2016-01-30,2
2016-01-30,4
2016-01-30,5
2016-01-30,8
2016-01-30,14
2016-01-30,3
2016-01-30,1
2016-01-30,10
2016-01-30,12
2016-01-30,18
2016-01-30,19
2016-01-31,1
2016-01-31,3
2016-01-31,6
2016-01-31,7
2016-01-31,2
2016-01-31,5
2016-01-31,18
2016-02-01,1
2016-02-01,2
2016-02-01,12
2016-02-01,3
2016-02-01,6
2016-02-01,7
2016-02-01,4
2016-02-01,9
2016-02-01,17
2016-02-02,1
2016-02-02,2
2016-02-02,3
2016-02-02,4
2016-02-02,6
2016-02-02,8
2016-02-03,2
2016-02-03,10
2016-02-03,5
2016-02-03,4
2016-02-03,7
2016-02-03,8
2016-02-03,9
2016-02-04,1
2016-02-04,2
2016-02-04,3
2016-02-04,4
2016-02-04,6
2016-02-04,9
2016-02-04,5
2016-02-05,1
2016-02-05,5
2016-02-05,4
2016-02-05,8
2016-02-05,2
2016-02-05,3
2016-02-05,7
2016-02-06,2
2016-02-06,4
2016-02-06,3
2016-02-06,5
2016-02-06,1
2016-02-06,6
2016-02-06,8
2016-02-06,7
2016-02-06,12
2016-02-06,13
2016-02-06,32
2016-02-06,10
2016-02-07,3
2016-02-07,9
2016-02-07,1
2016-02-07,2
2016-02-07,4
2016-02-07,7
2016-02-07,8
2016-02-07,5
2016-02-07,10
2016-02-07,16
2016-02-07,31
2016-02-07,11
2016-02-08,2
2016-02-08,1
2016-02-08,3
2016-02-08,5
2016-02-08,4
2016-02-08,7
2016-02-08,14
2016-02-08,17
2016-02-08,28
2016-02-08,30
2016-02-09,1
2016-02-09,3
2016-02-09,4
2016-02-09,2
2016-02-09,6
2016-02-09,5
2016-02-09,14
2016-02-09,27
2016-02-09,10
2016-02-09,12
2016-02-10,1
2016-02-10,2
2016-02-10,3
2016-02-10,5
2016-02-10,4
2016-02-10,26
2016-02-10,7
2016-02-11,2
2016-02-11,9
2016-02-11,1
2016-02-11,4
2016-02-11,5
2016-02-11,3
2016-02-11,6
2016-02-11,7
2016-02-12,4
2016-02-12,1
2016-02-12,2
2016-02-12,3
2016-02-12,5
2016-02-12,6
2016-02-13,1
2016-02-13,2
2016-02-13,4
2016-02-13,16
2016-02-13,23
2016-02-13,5
2016-02-13,3
2016-02-13,25
2016-02-14,2
2016-02-14,1
2016-02-14,3
2016-02-14,6
2016-02-14,7
2016-02-14,4
2016-02-15,1
2016-02-15,5
2016-02-15,2
2016-02-15,6
2016-02-15,3
2016-02-15,21
2016-02-16,2
2016-02-16,4
2016-02-16,1
2016-02-16,20
2016-02-16,3
2016-02-16,5
2016-02-17,1
2016-02-17,2
2016-02-17,7
2016-02-17,4
2016-02-17,11
2016-02-17,21
2016-02-17,3
2016-02-18,3
2016-02-18,1
2016-02-18,2
2016-02-18,5
2016-02-18,12
2016-02-18,20
2016-02-19,2
2016-02-19,6
2016-02-19,9
2016-02-19,10
2016-02-19,1
2016-02-19,3
2016-02-19,4
2016-02-19,5
2016-02-20,1
2016-02-20,2
2016-02-20,3
2016-02-20,8
2016-02-20,9
2016-02-20,4
2016-02-20,6
2016-02-20,16
2016-02-20,7
2016-02-21,1
2016-02-21,2
2016-02-21,8
2016-02-21,3
2016-02-21,15
2016-02-22,2
2016-02-22,4
2016-02-22,7
2016-02-22,1
